token	rank
talk	325
republicans	326
power	327
marriage	328
company	329
name	330
case	331
between	332
behind	333
states	334
presidential	335
im	336
human	337
christmas	338
thinks	339
morning	340
fans	341
doing	342
car	343
worlds	344
tax	345
something	346
security	347
run	348
releases	349
open	350
must	351
long	352
line	353
goes	354
boy	355
vote	356
used	357
race	358
days	359
asks	360
2016	361
very	362
twitter	363
student	364
rights	365
might	366
secret	367
killed	368
judge	369
didnt	370
because	371
already	372
win	373
times	374
sure	375
having	376
teacher	377
ryan	378
group	379
free	380
political	381
plans	382
obamacare	383
middle	384
department	385
ban	386
team	387
running	388
put	389
perfect	390
looking	391
art	392
20	393
poll	394
lets	395
inside	396
country	397
claims	398
room	399
music	400
missing	401
meet	402
everything	403
control	404
1	405
super	406
social	407
scientists	408
minutes	409
many	410
forced	411
each	412
bernie	413
unveils	414
until	415
texas	416
second	417
photo	418
head	419
ad	420
wife	421
talks	422
ready	423
michael	424
living	425
justice	426
california	427
youre	428
water	429
warns	430
set	431
secretary	432
red	433
person	434
once	435
mike	436
did	437
crisis	438
cancer	439
summer	440
pay	441
list	442
here	443
always	444
12	445
wins	446
wall	447
today	448
same	449
mother	450
looks	451
lives	452
let	453
father	454
wrong	455
womens	456
tells	457
record	458
full	459
comes	460
admits	461
taking	462
stars	463
save	464
kill	465
idea	466
heart	467
gives	468
female	469
dream	470
dies	471
candidate	472
biden	473
town	474
shot	475
shes	476
russia	477
reports	478
probably	479
letter	480
employee	481
three	482
thought	483
start	484
south	485
online	486
officials	487
nothing	488
lost	489
kim	490
isis	491
hot	492
fbi	493
cruz	494
working	495
tweets	496
talking	497
street	498
rock	499
place	500
needs	501
left	502
hours	503
george	504
francis	505
few	506
education	507
daughter	508
ceo	509
young	510
percent	511
past	512
march	513
hollywood	514
fucking	515
feel	516
director	517
congressman	518
yet	519
romney	520
questions	521
owner	522
korea	523
kind	524
chief	525
believe	526
attacks	527
ask	528
administration	529
washington	530
ted	531
service	532
problem	533
obamas	534
meeting	535
guide	536
birthday	537
age	538
thousands	539
someone	540
small	541
rise	542
moms	543
majority	544
less	545
happy	546
fan	547
eating	548
drug	549
class	550
chris	551
breaking	552
air	553
word	554
whats	555
together	556
tips	557
those	558
system	559
sleep	560
series	561
reason	562
phone	563
personal	564
months	565
moment	566
military	567
leaves	568
hell	569
9	570
restaurant	571
order	572
move	573
gift	574
federal	575
earth	576
cat	577
beautiful	578
assault	579
victims	580
told	581
stephen	582
rules	583
lot	584
leaders	585
latest	586
king	587
isnt	588
internet	589
holiday	590
fun	591
fox	592
box	593
americas	594
11	595
reasons	596
play	597
outside	598
message	599
mark	600
lessons	601
leave	602
jimmy	603
interview	604
hard	605
favorite	606
different	607
democratic	608
buy	609
2015	610
15	611
visit	612
travel	613
tom	614
scott	615
response	616
protest	617
prison	618
immigration	619
huffpost	620
hate	621
florida	622
excited	623
cover	624
community	625
celebrates	626
well	627
watching	628
special	629
shit	630
knows	631
kid	632
issues	633
ice	634
himself	635
cops	636
adorable	637
weekend	638
using	639
un	640
trip	641
since	642
relationship	643
nuclear	644
mothers	645
month	646
giving	647
front	648
following	649
fall	650
david	651
bring	652
birth	653
billion	654
anything	655
am	656
911	657
words	658
united	659
queer	660
offers	661
massive	662
least	663
investigation	664
hit	665
feels	666
drunk	667
conversation	668
china	669
become	670
union	671
totally	672
reality	673
powerful	674
politics	675
millions	676
killing	677
iran	678
chinese	679
break	680
bar	681
worried	682
turn	683
theyre	684
teens	685
taylor	686
surprise	687
stage	688
song	689
senator	690
russian	691
read	692
muslim	693
mass	694
hair	695
global	696
date	697
cop	698
candidates	699
awards	700
accused	701
50	702
30	703
turns	704
true	705
thinking	706
theres	707
sports	708
schools	709
hope	710
hits	711
employees	712
early	713
completely	714
trans	715
trailer	716
syrian	717
puts	718
point	719
pence	720
opens	721
longer	722
learned	723
huge	724
girlfriend	725
experience	726
dinner	727
dating	728
breaks	729
almost	730
waiting	731
third	732
straight	733
sign	734
reportedly	735
prince	736
post	737
nfl	738
leader	739
key	740
kardashian	741
joe	742
iraq	743
host	744
dance	745
worst	746
whole	747
whether	748
syria	749
spends	750
signs	751
returns	752
reform	753
policy	754
names	755
moving	756
final	757
fighting	758
ferguson	759
fashion	760
die	761
career	762
boys	763
apple	764
workers	765
weird	766
weeks	767
wearing	768
vows	769
users	770
suicide	771
return	772
possible	773
oscars	774
official	775
kills	776
force	777
center	778
called	779
biggest	780
advice	781
wars	782
transgender	783
struggling	784
store	785
stand	786
sick	787
remember	788
protesters	789
program	790
paris	791
nyc	792
michelle	793
ideas	794
hoping	795
hands	796
hall	797
five	798
decision	799
coffee	800
bus	801
audience	802
anniversary	803
100	804
worth	805
voice	806
steve	807
starting	808
space	809
rubio	810
risk	811
refugees	812
pregnant	813
poor	814
murder	815
moore	816
mind	817
members	818
light	819
late	820
industry	821
homeless	822
given	823
executive	824
crash	825
cool	826
beauty	827
artist	828
apartment	829
adds	830
across	831
abuse	832
2014	833
wishes	834
west	835
wait	836
university	837
suspect	838
success	839
road	840
question	841
peace	842
lose	843
keeps	844
jobs	845
iowa	846
important	847
hear	848
halloween	849
fear	850
eyes	851
dying	852
discover	853
chicago	854
carolina	855
ben	856
allegations	857
13	858
williams	859
which	860
walking	861
urges	862
st	863
seen	864
rest	865
receives	866
rally	867
problems	868
playing	869
planet	870
picture	871
oscar	872
older	873
major	874
magazine	875
kerry	876
hurricane	877
harry	878
hand	879
governor	880
easy	881
demands	882
cut	883
coworker	884
clearly	885
building	886
brings	887
board	888
amazon	889
amazing	890
album	891
act	892
abortion	893
2017	894
worse	895
voter	896
suggests	897
simple	898
shop	899
religious	900
queen	901
planned	902
park	903
mean	904
marijuana	905
male	906
lead	907
done	908
colbert	909
begins	910
arrested	911
youth	912
weight	913
uses	914
side	915
sean	916
san	917
said	918
reporter	919
plane	920
oil	921
movies	922
likely	923
learn	924
jr	925
humans	926
guys	927
google	928
general	929
fuck	930
football	931
families	932
emotional	933
economy	934
ebola	935
eat	936
east	937
doctor	938
deadly	939
church	940
bowl	941
amid	942
womans	943
website	944
try	945
tour	946
thats	947
test	948
snl	949
short	950
repeal	951
quietly	952
push	953
proud	954
prevent	955
press	956
pizza	957
performance	958
opening	959
officer	960
near	961
mental	962
loses	963
leaving	964
hilarious	965
fired	966
fake	967
driving	968
door	969
desperate	970
data	971
culture	972
crime	973
close	974
card	975
apologizes	976
anyone	977
address	978
actor	979
winter	980
vacation	981
train	982
trade	983
throws	984
table	985
supporters	986
soon	987
senators	988
sad	989
review	990
reminds	991
racist	992
number	993
matter	994
manager	995
lgbt	996
leading	997
lawsuit	998
jenner	999
immigrants	1000
hour	1001
hero	1002
harassment	1003
green	1004
foreign	1005
finding	1006
feeling	1007
fathers	1008
far	1009
eye	1010
evidence	1011
elizabeth	1012
dogs	1013
documentary	1014
demand	1015
defense	1016
dark	1017
dads	1018
crowd	1019
coworkers	1020
chicken	1021
chance	1022
budget	1023
boss	1024
battle	1025
asking	1026
voting	1027
threat	1028
telling	1029
sweet	1030
style	1031
spring	1032
spend	1033
skin	1034
shares	1035
scandal	1036
results	1037
residents	1038
private	1039
passes	1040
nice	1041
netflix	1042
nearly	1043
mayor	1044
kelly	1045
hotel	1046
hopes	1047
hasnt	1048
grandma	1049
fails	1050
event	1051
eric	1052
died	1053
depression	1054
congressional	1055
color	1056
christian	1057
check	1058
bathroom	1059
band	1060
apparently	1061
among	1062
according	1063
went	1064
walk	1065
tweet	1066
toward	1067
thanks	1068
slams	1069
role	1070
robert	1071
reveal	1072
responds	1073
rape	1074
putting	1075
perfectly	1076
learning	1077
jones	1078
jeff	1079
israel	1080
hospital	1081
honor	1082
historical	1083
harvey	1084
funding	1085
forward	1086
financial	1087
faces	1088
episode	1089
epa	1090
doctors	1091
daily	1092
couples	1093
clean	1094
celebrity	1095
caught	1096
beer	1097
arent	1098
also	1099
airport	1100
ahead	1101
activists	1102
yes	1103
wish	1104
tired	1105
terrible	1106
teachers	1107
swift	1108
staff	1109
spot	1110
sound	1111
sons	1112
shut	1113
saying	1114
sales	1115
reading	1116
protect	1117
olympic	1118
nasa	1119
miss	1120
met	1121
loves	1122
loved	1123
loss	1124
legal	1125
leads	1126
jeb	1127
issue	1128
incredible	1129
holding	1130
helping	1131
healthy	1132
gold	1133
giant	1134
gave	1135
despite	1136
create	1137
concerned	1138
committee	1139
comey	1140
celebrate	1141
carpet	1142
border	1143
blue	1144
award	1145
airlines	1146
40	1147
17	1148
wondering	1149
truth	1150
tree	1151
steps	1152
sea	1153
science	1154
royal	1155
roy	1156
retirement	1157
raise	1158
probe	1159
player	1160
pick	1161
pass	1162
orders	1163
named	1164
market	1165
lunch	1166
lady	1167
jennifer	1168
hundreds	1169
happened	1170
half	1171
flight	1172
fda	1173
explains	1174
energy	1175
driver	1176
dreams	1177
dozens	1178
dnc	1179
divorce	1180
dear	1181
dc	1182
convention	1183
comments	1184
bob	1185
blood	1186
bank	1187
avoid	1188
announce	1189
afghanistan	1190
action	1191
youll	1192
whos	1193
votes	1194
turkey	1195
threatens	1196
thanksgiving	1197
suit	1198
stay	1199
spending	1200
speaks	1201
six	1202
send	1203
scene	1204
release	1205
promises	1206
primary	1207
points	1208
museum	1209
mexican	1210
medical	1211
means	1212
louis	1213
launch	1214
killer	1215
jesus	1216
happens	1217
guns	1218
ground	1219
golden	1220
experts	1221
dress	1222
commercial	1223
cold	1224
cities	1225
cia	1226
ceremony	1227
boyfriend	1228
bear	1229
attempt	1230
writing	1231
wild	1232
tries	1233
surprised	1234
stunning	1235
speak	1236
somehow	1237
share	1238
sends	1239
sees	1240
seeing	1241
released	1242
refuses	1243
refugee	1244
recalls	1245
realizes	1246
puerto	1247
moves	1248
martin	1249
marco	1250
london	1251
lgbtq	1252
lawyer	1253
justin	1254
insurance	1255
instagram	1256
growing	1257
friday	1258
floor	1259
fast	1260
failed	1261
explain	1262
enters	1263
domestic	1264
customers	1265
continue	1266
cnn	1267
character	1268
cast	1269
came	1270
brother	1271
al	1272
accidentally	1273
wanted	1274
turning	1275
tim	1276
taken	1277
subway	1278
stupid	1279
seconds	1280
ride	1281
rick	1282
recipes	1283
others	1284
onto	1285
movement	1286
mccain	1287
marketing	1288
magical	1289
labor	1290
guilty	1291
greatest	1292
funniest	1293
french	1294
freedom	1295
failure	1296
ends	1297
elderly	1298
common	1299
club	1300
claim	1301
brown	1302
books	1303
becomes	1304
bag	1305
average	1306
asked	1307
archives	1308
works	1309
worker	1310
vs	1311
trial	1312
toddler	1313
theater	1314
terror	1315
tech	1316
stuck	1317
stories	1318
shouldnt	1319
search	1320
roundup	1321
rich	1322
rare	1323
pull	1324
popular	1325
network	1326
meal	1327
married	1328
low	1329
level	1330
johnson	1331
husband	1332
hurt	1333
holds	1334
heard	1335
glass	1336
games	1337
form	1338
forces	1339
focus	1340
dangerous	1341
citizens	1342
charges	1343
changes	1344
chair	1345
allegedly	1346
aid	1347
ago	1348
2018	1349
virginia	1350
valentines	1351
unable	1352
trevor	1353
treatment	1354
track	1355
took	1356
thrones	1357
suddenly	1358
sets	1359
secrets	1360
sale	1361
safe	1362
runs	1363
recommends	1364
price	1365
polls	1366
please	1367
planning	1368
numbers	1369
nra	1370
muslims	1371
mouth	1372
member	1373
mad	1374
laws	1375
launches	1376
jim	1377
itself	1378
increase	1379
holidays	1380
historic	1381
helps	1382
hearing	1383
guest	1384
gas	1385
forever	1386
festival	1387
exactly	1388
diversity	1389
disney	1390
desk	1391
deep	1392
decides	1393
customer	1394
critics	1395
controversial	1396
complete	1397
comedy	1398
civil	1399
brain	1400
bird	1401
bed	1402
anymore	1403
animals	1404
18	1405
16	1406
yourself	1407
window	1408
weapons	1409
warning	1410
vice	1411
update	1412
truck	1413
tears	1414
target	1415
survivors	1416
stuff	1417
strategy	1418
spent	1419
soccer	1420
slowly	1421
shutdown	1422
sense	1423
sarah	1424
safety	1425
ruling	1426
rule	1427
ring	1428
researchers	1429
research	1430
racism	1431
protests	1432
pride	1433
presidents	1434
pool	1435
paper	1436
paid	1437
olympics	1438
ohio	1439
nominee	1440
nba	1441
mcconnell	1442
machine	1443
losing	1444
kate	1445
iphone	1446
international	1447
injured	1448
higher	1449
groups	1450
grandmother	1451
gap	1452
four	1453
fix	1454
else	1455
discovered	1456
disaster	1457
currently	1458
clintons	1459
clear	1460
christie	1461
choice	1462
charged	1463
changing	1464
changed	1465
cars	1466
camp	1467
calling	1468
cabinet	1469
broken	1470
beat	1471
beach	1472
awesome	1473
annual	1474
allows	1475
writer	1476
viral	1477
vatican	1478
universe	1479
theory	1480
television	1481
strike	1482
stress	1483
species	1484
smart	1485
sitting	1486
site	1487
serious	1488
schumer	1489
saudi	1490
sandwich	1491
rep	1492
putin	1493
process	1494
prize	1495
pop	1496
pet	1497
per	1498
pays	1499
parking	1500
parenting	1501
pants	1502
offer	1503
noah	1504
neighborhood	1505
naked	1506
model	1507
mitch	1508
missile	1509
misconduct	1510
mexico	1511
meets	1512
meat	1513
matt	1514
link	1515
lawyers	1516
joke	1517
island	1518
interest	1519
intelligence	1520
inauguration	1521
immigrant	1522
horse	1523
honors	1524
happen	1525
gender	1526
fit	1527
figures	1528
falls	1529
faith	1530
fair	1531
fail	1532
equality	1533
effort	1534
disappointed	1535
diet	1536
debuts	1537
debt	1538
created	1539
crazy	1540
course	1541
continues	1542
confirms	1543
childs	1544
challenge	1545
catholic	1546
camera	1547
breakfast	1548
boehner	1549
awkward	1550
authorities	1551
attempts	1552
alone	1553
absolutely	1554
within	1555
winning	1556
welcome	1557
warren	1558
wake	1559
visiting	1560
uber	1561
then	1562
tale	1563
station	1564
silence	1565
sentence	1566
senior	1567
realize	1568
rate	1569
radio	1570
project	1571
players	1572
places	1573
mueller	1574
monday	1575
minister	1576
listen	1577
lack	1578
jury	1579
items	1580
instead	1581
inequality	1582
immediately	1583
horrible	1584
hold	1585
helped	1586
heads	1587
guard	1588
gone	1589
frustrated	1590
fraud	1591
fires	1592
easter	1593
drops	1594
drop	1595
drive	1596
drinking	1597
declares	1598
daughters	1599
cost	1600
concert	1601
chuck	1602
celebrities	1603
cause	1604
becoming	1605
bannon	1606
assures	1607
asian	1608
artists	1609
army	1610
app	1611
60	1612
—	1613
wouldnt	1614
weather	1615
violent	1616
view	1617
upcoming	1618
unaware	1619
throughout	1620
threats	1621
teach	1622
sunday	1623
struggle	1624
stops	1625
stock	1626
statue	1627
sorry	1628
skills	1629
screen	1630
samesex	1631
rnc	1632
richard	1633
reminder	1634
quick	1635
prime	1636
plastic	1637
picks	1638
peoples	1639
passengers	1640
owners	1641
nude	1642
nobody	1643
newspaper	1644
neighbors	1645
moon	1646
memorial	1647
matters	1648
mall	1649
likes	1650
lies	1651
legend	1652
lee	1653
leadership	1654
latino	1655
la	1656
journalists	1657
image	1658
gym	1659
grow	1660
fund	1661
films	1662
fifth	1663
escape	1664
era	1665
empty	1666
drag	1667
dick	1668
destroy	1669
delivers	1670
cup	1671
creative	1672
couldnt	1673
costs	1674
conservative	1675
companies	1676
classic	1677
chrissy	1678
channel	1679
campus	1680
buying	1681
bizarre	1682
attorney	1683
attention	1684
appearance	1685
angry	1686
agree	1687
14	1688
youve	1689
wine	1690
victory	1691
veteran	1692
vegas	1693
user	1694
trash	1695
training	1696
torture	1697
throw	1698
studio	1699
step	1700
singer	1701
shooter	1702
shocked	1703
saving	1704
saved	1705
santa	1706
rising	1707
rescue	1708
replace	1709
relieved	1710
progressive	1711
product	1712
premiere	1713
pregnancy	1714
passing	1715
parenthood	1716
parent	1717
onion	1718
offering	1719
nomination	1720
memory	1721
lobby	1722
legislation	1723
later	1724
kansas	1725
joy	1726
india	1727
illinois	1728
huffpollster	1729
horror	1730
held	1731
healthcare	1732
gps	1733
georgia	1734
funny	1735
fine	1736
fat	1737
failing	1738
facts	1739
emergency	1740
emails	1741
drugs	1742
disgusting	1743
cuts	1744
crew	1745
conference	1746
childrens	1747
burger	1748
blasts	1749
blames	1750
bid	1751
beginning	1752
begin	1753
bee	1754
barack	1755
ball	1756
asshole	1757
article	1758
anxiety	1759
african	1760
account	1761
access	1762
won	1763
whatever	1764
weinstein	1765
wear	1766
warn	1767
vision	1768
trust	1769
tried	1770
total	1771
tiny	1772
themselves	1773
terrifying	1774
strong	1775
stranger	1776
starts	1777
standing	1778
songs	1779
smith	1780
serial	1781
sent	1782
saves	1783
rico	1784
raises	1785
pulls	1786
princess	1787
potential	1788
officers	1789
note	1790
nbc	1791
mr	1792
moments	1793
lifetime	1794
largest	1795
korean	1796
kimmel	1797
kanye	1798
journalist	1799
jon	1800
information	1801
ill	1802
honored	1803
hill	1804
herself	1805
hawaii	1806
hampshire	1807
guests	1808
generation	1809
funeral	1810
france	1811
foundation	1812
field	1813
features	1814
famous	1815
extra	1816
exclusive	1817
edge	1818
economic	1819
dr	1820
disease	1821
dirty	1822
democracy	1823
defends	1824
creepy	1825
credit	1826
cream	1827
corporate	1828
controversy	1829
conservatives	1830
clothes	1831
century	1832
cases	1833
busy	1834
bunch	1835
boring	1836
block	1837
bell	1838
answer	1839
amy	1840
along	1841
allow	1842
alabama	1843
africa	1844
addiction	1845
accident	1846
able	1847
zoo	1848
yoga	1849
visits	1850
viewers	1851
victim	1852
ultimate	1853
turned	1854
tribute	1855
threatened	1856
thank	1857
terrorism	1858
teigen	1859
technology	1860
such	1861
strikes	1862
strangers	1863
stewart	1864
spotted	1865
sources	1866
society	1867
snow	1868
several	1869
seriously	1870
seems	1871
seek	1872
rolls	1873
roll	1874
resigns	1875
remove	1876
recent	1877
reach	1878
quickly	1879
profile	1880
presidency	1881
orlando	1882
ones	1883
okay	1884
musical	1885
modern	1886
missed	1887
magic	1888
lucky	1889
looked	1890
literally	1891
lie	1892
legacy	1893
larry	1894
large	1895
kitchen	1896
keeping	1897
journey	1898
join	1899
islamic	1900
inmates	1901
illegal	1902
ii	1903
huckabee	1904
heaven	1905
headquarters	1906
happiness	1907
gifts	1908
fourth	1909
flying	1910
fish	1911
figure	1912
feet	1913
fame	1914
factory	1915
exhausted	1916
equal	1917
elections	1918
drone	1919
digital	1920
devos	1921
denies	1922
current	1923
criticism	1924
criminal	1925
cook	1926
content	1927
computer	1928
colorado	1929
cheney	1930
charity	1931
characters	1932
broadway	1933
boston	1934
baseball	1935
available	1936
argument	1937
approves	1938
anger	1939
alleged	1940
afghan	1941
acting	1942
90	1943
200	1944
waste	1945
wasnt	1946
value	1947
unsure	1948
uk	1949
trolls	1950
tony	1951
tonight	1952
thomas	1953
terrified	1954
suspended	1955
storm	1956
split	1957
sounds	1958
sort	1959
sessions	1960
section	1961
seat	1962
remains	1963
rebels	1964
quiet	1965
purchase	1966
proves	1967
protecting	1968
professor	1969
previously	1970
practice	1971
positive	1972
porn	1973
policies	1974
piece	1975
patients	1976
palestinian	1977
opinion	1978
needed	1979
mystery	1980
misses	1981
miles	1982
mcdonalds	1983
mars	1984
maher	1985
lower	1986
loud	1987
lone	1988
kylie	1989
kushner	1990
kevin	1991
jewish	1992
jail	1993
jack	1994
ivanka	1995
israeli	1996
iraqi	1997
increasingly	1998
incident	1999
homes	2000
ford	2001
finish	2002
feature	2003
farm	2004
expected	2005
epidemic	2006
enjoys	2007
enjoy	2008
english	2009
ellen	2010
drink	2011
details	2012
depressed	2013
deliver	2014
defend	2015
dancing	2016
cuba	2017
cruise	2018
creating	2019
countries	2020
corden	2021
confirm	2022
colleges	2023
closer	2024
cheese	2025
causes	2026
catch	2027
cash	2028
cards	2029
cake	2030
britney	2031
born	2032
bombing	2033
blame	2034
bin	2035
believes	2036
became	2037
author	2038
attend	2039
animal	2040
amount	2041
aims	2042
agents	2043
agent	2044
adult	2045
adam	2046
25	2047
write	2048
walks	2049
wage	2050
veterans	2051
v	2052
urban	2053
truly	2054
toy	2055
title	2056
ties	2057
therapy	2058
tea	2059
taught	2060
tank	2061
taco	2062
stone	2063
staffers	2064
spoof	2065
shootings	2066
shoot	2067
sexist	2068
sentenced	2069
row	2070
roommate	2071
rips	2072
resign	2073
repeatedly	2074
reduce	2075
reallife	2076
reaches	2077
racial	2078
quit	2079
prove	2080
proof	2081
pro	2082
prepares	2083
position	2084
population	2085
plays	2086
perry	2087
partner	2088
parody	2089
officially	2090
neil	2091
mitt	2092
mistakes	2093
mentally	2094
meditation	2095
maybe	2096
listening	2097
lines	2098
lawmakers	2099
laugh	2100
known	2101
knew	2102
kick	2103
jokes	2104
jessica	2105
jared	2106
impression	2107
horrified	2108
globes	2109
gather	2110
flag	2111
fears	2112
fantasy	2113
falling	2114
expect	2115
exchange	2116
everywhere	2117
eu	2118
elected	2119
double	2120
detroit	2121
decide	2122
decades	2123
davis	2124
dakota	2125
cute	2126
creator	2127
conflict	2128
childhood	2129
cheap	2130
charlottesville	2131
carson	2132
brand	2133
bomb	2134
boat	2135
bible	2136
beyond	2137
betsy	2138
behavior	2139
arrest	2140
arizona	2141
anderson	2142
ancient	2143
alert	2144
aging	2145
activist	2146
web	2147
wears	2148
van	2149
upset	2150
ukraine	2151
treat	2152
trapped	2153
transportation	2154
toxic	2155
thoughts	2156
text	2157
taste	2158
suspects	2159
survivor	2160
survive	2161
sues	2162
successful	2163
strength	2164
streets	2165
statement	2166
started	2167
starbucks	2168
speaking	2169
soul	2170
sleeping	2171
sit	2172
sister	2173
shirt	2174
shape	2175
seth	2176
sending	2177
searching	2178
rush	2179
rose	2180
returning	2181
responsible	2182
respect	2183
relief	2184
realizing	2185
quality	2186
promise	2187
poverty	2188
pounds	2189
potter	2190
pot	2191
poster	2192
politicians	2193
plant	2194
perspective	2195
path	2196
pain	2197
pack	2198
overweight	2199
outraged	2200
outbreak	2201
original	2202
ocean	2203
mysterious	2204
mission	2205
minute	2206
marine	2207
latinos	2208
las	2209
lake	2210
kaine	2211
joins	2212
jackson	2213
interior	2214
inspired	2215
impact	2216
idiot	2217
identity	2218
id	2219
iconic	2220
hitting	2221
highway	2222
heroin	2223
harder	2224
handle	2225
hackers	2226
gunman	2227
grave	2228
grammys	2229
graham	2230
gorgeous	2231
glasses	2232
german	2233
fly	2234
feelings	2235
enjoying	2236
either	2237
edition	2238
due	2239
drivers	2240
dressed	2241
directly	2242
delicious	2243
deaths	2244
de	2245
daniels	2246
dangers	2247
damage	2248
cross	2249
crimes	2250
crack	2251
council	2252
cooper	2253
contact	2254
confidence	2255
comedian	2256
code	2257
clock	2258
charge	2259
burns	2260
burning	2261
build	2262
bruce	2263
brothers	2264
broke	2265
brief	2266
breast	2267
bottle	2268
both	2269
barely	2270
banks	2271
appears	2272
anthem	2273
ambassador	2274
alive	2275
aides	2276
add	2277
actual	2278
academy	2279
abandoned	2280
400	2281
23	2282
10000	2283
zero	2284
workplace	2285
worked	2286
wolf	2287
winners	2288
weve	2289
weed	2290
valley	2291
usa	2292
updates	2293
unexpected	2294
type	2295
trouble	2296
troops	2297
traveling	2298
traffic	2299
touching	2300
toilet	2301
tillerson	2302
teaches	2303
taxes	2304
tape	2305
surprising	2306
summit	2307
strip	2308
steven	2309
startup	2310
stares	2311
source	2312
soldier	2313
solar	2314
singing	2315
shower	2316
shoots	2317
ship	2318
shelter	2319
shell	2320
sexually	2321
seeks	2322
secretly	2323
revolution	2324
remind	2325
remembers	2326
remaining	2327
records	2328
rachel	2329
puppy	2330
pulling	2331
programs	2332
prescription	2333
portrait	2334
pledges	2335
photographer	2336
pennsylvania	2337
penis	2338
patient	2339
pathetic	2340
painful	2341
pac	2342
normal	2343
netanyahu	2344
neighbor	2345
moved	2346
miracle	2347
milk	2348
mess	2349
melania	2350
loser	2351
links	2352
liberty	2353
letting	2354
lena	2355
land	2356
improve	2357
hosts	2358
hiv	2359
hints	2360
habits	2361
gross	2362
graduates	2363
gov	2364
gops	2365
glimpse	2366
gingrich	2367
genius	2368
gaza	2369
fridays	2370
fresh	2371
flu	2372
feminist	2373
fcc	2374
false	2375
expert	2376
europe	2377
ethics	2378
epic	2379
environment	2380
engagement	2381
ending	2382
egg	2383
discuss	2384
direct	2385
difference	2386
designer	2387
deserve	2388
dallas	2389
crying	2390
creates	2391
covered	2392
costume	2393
corruption	2394
consumers	2395
constitution	2396
conspiracy	2397
communities	2398
collection	2399
colin	2400
christ	2401
capital	2402
capable	2403
businesses	2404
british	2405
bold	2406
basketball	2407
base	2408
bans	2409
babies	2410
aunt	2411
attempting	2412
arms	2413
anyway	2414
amendment	2415
alzheimers	2416
adviser	2417
actress	2418
actors	2419
8yearold	2420
7yearold	2421
5yearold	2422
24	2423
younger	2424
writers	2425
workout	2426
willing	2427
welcomes	2428
w	2429
views	2430
version	2431
upon	2432
unless	2433
trick	2434
trend	2435
transition	2436
tough	2437
toll	2438
terrorist	2439
teenage	2440
sun	2441
stance	2442
spirit	2443
spicer	2444
speed	2445
spears	2446
speaker	2447
solve	2448
solution	2449
slightly	2450
sing	2451
silver	2452
sight	2453
shopping	2454
shoes	2455
shift	2456
shark	2457
shake	2458
scalia	2459
samantha	2460
rudy	2461
